account_id,account_name,service,period1_cost,period2_cost,difference,pct_change
960996363803,wifi-prd-jpn,Amazon Elastic Container Service for Kubernetes,72.0,117.6,45.6,+63.3%
960996363803,wifi-prd-jpn,CloudWatch Events,431.5,389.65,-41.85,-9.7%
960996363803,wifi-prd-jpn,AWS Lambda,206.5,241.38,34.88,+16.9%
960996363803,wifi-prd-jpn,Amazon Elastic Compute Cloud - Compute,625.92,605.03,-20.89,-3.3%
960996363803,wifi-prd-jpn,Amazon DynamoDB,423.95,441.95,18.0,+4.2%
960996363803,wifi-prd-jpn,Amazon Simple Queue Service,80.07,62.25,-17.81,-22.2%
960996363803,wifi-prd-jpn,Amazon Kinesis Firehose,87.96,85.54,-2.42,-2.7%
960996363803,wifi-prd-jpn,AmazonCloudWatch,268.06,266.69,-1.37,-0.5%
960996363803,wifi-prd-jpn,Amazon Virtual Private Cloud,21.6,20.89,-0.72,-3.3%
960996363803,wifi-prd-jpn,Amazon Elastic Load Balancing,17.73,17.13,-0.59,-3.4%
960996363803,wifi-prd-jpn,Amazon Route 53,0.54,1.12,0.58,+107.0%
960996363803,wifi-prd-jpn,Amazon Managed Streaming for Apache Kafka,959.73,959.74,0.02,+0.0%
960996363803,wifi-prd-jpn,AWS Secrets Manager,1.93,1.93,0.0,+0.2%
960996363803,wifi-prd-jpn,TOTAL,5377.46,6105.65,728.19,+13.5%
